,Country,2018_GDP,2019_GDP,Share,Change,Rank,Continent
1,United States,"20,580.25","21,439.45",24.8,859.2,0,North America
2,China,"13,368.07","14,140.16",16.3,772.09,0,Asia
3,Japan,"4,971.77","5,154.48",5.95,182.71,0,Asia
4,Germany,"3,951.34","3,863.34",4.46,-88,0,Europe
5,India,"2,718.73","2,935.57",3.39,216.84,2,Asia
6,United Kingdom,"2,828.83","2,743.59",3.17,-85.24,-1,Europe
7,France,"2,780.15","2,707.07",3.13,-73.08,-1,Europe
8,Italy,"2,075.86","1,988.64",2.3,-87.22,0,Europe
9,Brazil,"1,867.82","1,847.02",2.13,-20.8,0,South America
10,Canada,"1,712.48","1,730.91",2,18.43,1,North America
11,Russia,"1,657.29","1,637.89",1.89,-19.4,1,Europe
12,Korea,"1,720.49","1,629.53",1.88,-90.96,-2,Asia
13,Spain,"1,427.53","1,397.87",1.61,-29.66,0,Europe
14,Australia,"1,420.05","1,376.26",1.59,-43.79,0,Oceania
15,Mexico,"1,222.05","1,274.18",1.47,52.13,0,North America
16,Indonesia,"1,022.45","1,111.71",1.28,89.26,0,Asia
17,Netherlands,914.519,902.355,1.04,-12.164,0,Europe
18,Saudi Arabia,786.522,779.289,0.9,-7.233,0,Asia
19,Turkey,771.274,743.708,0.859,-27.566,0,Europe
20,Switzerland,705.546,715.36,0.826,9.814,0,Europe
21,Taiwan Province of China,589.906,586.104,0.677,-3.802,0,Asia
22,Poland,585.816,565.854,0.653,-19.962,0,Europe
23,Thailand,504.928,529.177,0.611,24.249,3,Asia
24,Sweden,556.073,528.929,0.611,-27.144,-1,Europe
25,Belgium,532.268,517.609,0.598,-14.659,-1,Europe
26,Islamic Republic of Iran,446.105,458.5,0.529,12.395,2,Asia
27,Austria,456.166,447.718,0.517,-8.448,0,Europe
28,Nigeria,398.186,446.543,0.516,48.357,3,Africa
29,Argentina,519.487,445.469,0.514,-74.018,-4,South America
30,Norway,434.167,417.627,0.482,-16.54,-1,Europe
31,United Arab Emirates,414.179,405.771,0.469,-8.408,-1,Asia
32,Israel,370.588,387.717,0.448,17.129,1,Asia
33,Ireland,382.754,384.94,0.445,2.186,-1,Europe
34,Hong Kong SAR,362.721,372.989,0.431,10.268,2,Asia
35,Malaysia,358.579,365.303,0.422,6.724,2,Asia
36,Singapore,364.139,362.818,0.419,-1.321,-1,Asia
37,South Africa,368.135,358.839,0.414,-9.296,-3,Africa
38,Philippines,330.91,356.814,0.412,25.904,2,Asia
39,Denmark,352.058,347.176,0.401,-4.882,-1,Europe
40,Colombia,330.974,327.895,0.379,-3.079,-1,South America
41,Bangladesh,288.424,317.465,0.367,29.041,2,Asia
42,Egypt,249.559,302.256,0.349,52.697,3,Africa
43,Chile,298.18,294.237,0.34,-3.943,-1,South America
44,Pakistan,314.588,284.214,0.328,-30.374,-3,Asia
45,Finland,274.21,269.654,0.311,-4.556,-1,Europe
46,Vietnam,241.272,261.637,0.302,20.365,1,Asia
47,Czech Republic,245.226,246.953,0.285,1.727,-1,Europe
48,Romania,239.552,243.698,0.281,4.146,1,Europe
49,Portugal,240.901,236.408,0.273,-4.493,-1,Europe
50,Peru,225.366,228.989,0.264,3.623,0,South America
51,Iraq,224.228,224.462,0.259,0.234,0,Asia
52,Greece,218.23,214.012,0.247,-4.218,0,Europe
53,New Zealand,203.127,204.671,0.236,1.544,0,Oceania
54,Qatar,191.362,191.849,0.222,0.487,0,Asia
55,Algeria,173.757,172.781,0.2,-0.976,0,Africa
56,Hungary,161.182,170.407,0.197,9.225,1,Europe
57,Kazakhstan,172.941,170.326,0.197,-2.615,-1,Asia
58,Ukraine,130.857,150.401,0.174,19.544,1,Europe
59,Kuwait,141.646,137.591,0.159,-4.055,-1,Asia
60,Morocco,118.534,119.04,0.137,0.506,0,Africa
61,Ecuador,108.398,107.914,0.125,-0.484,0,South America
62,Slovak Republic,106.573,106.552,0.123,-0.021,0,Europe
63,Puerto Rico,101.131,99.913,0.115,-1.218,1,North America
64,Kenya,87.928,98.607,0.114,10.679,3,Africa
65,Angola,105.902,91.527,0.106,-14.375,-2,Africa
66,Ethiopia,80.289,91.166,0.105,10.877,3,Africa
67,Dominican Republic,85.63,89.475,0.103,3.845,1,North America
68,Sri Lanka,88.901,86.566,0.1,-2.335,-2,Asia
69,Guatemala,78.461,81.318,0.0939,2.857,2,North America
70,Oman,79.277,76.609,0.0885,-2.668,0,Asia
71,Venezuela,98.437,70.14,0.081,-28.297,-6,South America
72,Luxembourg,69.553,69.453,0.0802,-0.1,0,Europe
73,Panama,65.055,68.536,0.0791,3.481,3,North America
74,Ghana,65.518,67.077,0.0775,1.559,0,Africa
75,Bulgaria,65.197,66.25,0.0765,1.053,0,Europe
76,Myanmar,68.668,65.994,0.0762,-2.674,-3,Asia
77,Belarus,59.643,62.572,0.0723,2.929,3,Europe
78,Tanzania,56.852,62.224,0.0719,5.372,3,Africa
79,Costa Rica,60.464,61.021,0.0705,0.557,-1,North America
80,Croatia,60.805,60.702,0.0701,-0.103,-3,Europe
81,Uzbekistan,50.485,60.49,0.0699,10.005,6,Asia
82,Uruguay,59.651,59.918,0.0692,0.267,-3,South America
83,Lebanon,56.372,58.565,0.0676,2.193,-1,Asia
84,Macao SAR,54.545,55.136,0.0637,0.591,-1,Asia
85,Slovenia,54.059,54.154,0.0625,0.095,-1,Europe
86,Lithuania,53.302,53.641,0.0619,0.339,-1,Europe
87,Serbia,50.509,51.523,0.0595,1.014,-1,Europe
88,Democratic Republic of the Congo,47.099,48.994,0.0566,1.895,0,Africa
89,Azerbaijan,46.94,47.171,0.0545,0.231,0,Europe
90,Turkmenistan,40.761,46.674,0.0539,5.913,4,Asia
91,Côte d'Ivoire,43.048,44.439,0.0513,1.391,-1,Africa
92,Jordan,42.291,44.172,0.051,1.881,-1,Asia
93,Bolivia,40.581,42.401,0.049,1.82,2,South America
94,Paraguay,41.854,40.714,0.047,-1.14,-2,South America
95,Tunisia,39.895,38.732,0.0447,-1.163,1,Africa
96,Cameroon,38.712,38.632,0.0446,-0.08,1,Africa
97,Bahrain,37.746,38.184,0.0441,0.438,1,Asia
98,Latvia,34.882,35.045,0.0405,0.163,1,Europe
99,Libya,40.951,33.018,0.0381,-7.933,-6,Africa
100,Estonia,30.761,31.038,0.0358,0.277,1,Europe
101,Sudan,34.282,30.873,0.0357,-3.409,-1,Africa
102,Uganda,28.116,30.666,0.0354,2.55,1,Africa
103,Yemen,27.591,29.855,0.0345,2.264,1,Asia
104,Nepal,29.04,29.813,0.0344,0.773,-2,Asia
105,El Salvador,26.057,26.871,0.031,0.814,1,North America
106,Cambodia,24.444,26.73,0.0309,2.286,3,Asia
107,Honduras,23.803,24.449,0.0282,0.646,3,North America
108,Cyprus,24.493,24.28,0.028,-0.213,0,Europe
109,Zambia,26.72,23.946,0.0277,-2.774,-4,Africa
110,Senegal,23.498,23.94,0.0276,0.442,1,Africa
111,Iceland,25.965,23.918,0.0276,-2.047,-4,Europe
112,Papua New Guinea,23.185,23.587,0.0272,0.402,0,Oceania
113,Trinidad and Tobago,22.525,22.607,0.0261,0.082,0,North America
114,Bosnia and Herzegovina,20.162,20.106,0.0232,-0.056,1,Europe
115,Lao P.D.R.,18.12,19.127,0.0221,1.007,3,Asia
116,Afghanistan,19.63,18.734,0.0216,-0.896,0,Asia
117,Botswana,18.615,18.69,0.0216,0.075,0,Africa
118,Mali,17.18,17.647,0.0204,0.467,1,Africa
119,Gabon,16.875,16.877,0.0195,0.002,1,Africa
120,Georgia,16.209,15.925,0.0184,-0.284,1,Europe
121,Jamaica,15.461,15.702,0.0181,0.241,1,North America
122,Albania,15.059,15.418,0.0178,0.359,1,Europe
123,Mozambique,14.396,15.093,0.0174,0.697,3,Africa
124,Malta,14.56,14.859,0.0172,0.299,0,Europe
125,Burkina Faso,14.138,14.593,0.0169,0.455,4,Africa
126,Mauritius,14.21,14.391,0.0166,0.181,2,Africa
127,Benin,14.269,14.374,0.0166,0.105,0,Africa
128,Namibia,14.513,14.368,0.0166,-0.145,-3,Africa
129,Mongolia,13.009,13.637,0.0157,0.628,4,Asia
130,Armenia,12.433,13.444,0.0155,1.011,5,Europe
131,Guinea,12.099,13.368,0.0154,1.269,6,Africa
132,Zimbabwe,20.997,12.818,0.0148,-8.179,-18,Africa
133,North Macedonia,12.67,12.672,0.0146,0.002,1,Europe
134,The Bahamas,12.425,12.664,0.0146,0.239,2,North America
135,Madagascar,12.09,12.55,0.0145,0.46,3,Africa
136,Nicaragua,13.118,12.528,0.0145,-0.59,-4,North America
137,Brunei Darussalam,13.568,12.455,0.0144,-1.113,-6,Asia
138,Equatorial Guinea,13.734,12.142,0.014,-1.592,-8,Africa
139,Moldova,11.309,11.688,0.0135,0.379,1,Europe
140,Republic of Congo,11.664,11.576,0.0134,-0.088,-1,Africa
141,Chad,11.051,11.026,0.0127,-0.025,0,Africa
142,Rwanda,9.51,10.209,0.0118,0.699,1,Africa
143,Niger,9.299,9.443,0.0109,0.144,1,Africa
144,Haiti,9.658,8.819,0.0102,-0.839,-2,North America
145,Kyrgyz Republic,8.093,8.261,0.00954,0.168,0,Asia
146,Tajikistan,7.52,8.152,0.00941,0.632,1,Asia
147,Kosovo,7.947,7.996,0.00923,0.049,-1,Europe
148,Malawi,6.901,7.522,0.00869,0.621,0,Africa
149,Maldives,5.328,5.786,0.00668,0.458,3,Asia
150,Fiji,5.524,5.708,0.00659,0.184,-1,Oceania
151,Mauritania,5.237,5.651,0.00653,0.414,2,Africa
152,Togo,5.358,5.502,0.00635,0.144,-1,Africa
153,Montenegro,5.457,5.424,0.00626,-0.033,-3,Europe
154,Barbados,5.087,5.189,0.00599,0.102,0,North America
155,Somalia,4.721,4.958,0.00573,0.237,0,Africa
156,Eswatini,4.711,4.657,0.00538,-0.054,0,Africa
157,Sierra Leone,4.082,4.229,0.00488,0.147,1,Africa
158,Guyana,3.899,4.121,0.00476,0.222,1,South America
159,Suriname,3.427,3.774,0.00436,0.347,2,South America
160,South Sudan,4.583,3.681,0.00425,-0.902,-3,Africa
161,Burundi,3.436,3.573,0.00413,0.137,-1,Africa
162,Liberia,3.248,3.222,0.00372,-0.026,0,Africa
163,Djibouti,2.923,3.166,0.00366,0.243,0,Africa
164,Timor-Leste,2.746,2.938,0.00339,0.192,1,Asia
165,Aruba,2.822,2.903,0.00335,0.081,-1,North America
166,Bhutan,2.582,2.842,0.00328,0.26,1,Asia
167,Lesotho,2.713,2.741,0.00317,0.028,-1,Africa
168,Central African Republic,2.28,2.321,0.00268,0.041,0,Africa
169,Eritrea,2.007,2.11,0.00244,0.103,0,Africa
170,Cabo Verde,1.979,2.013,0.00232,0.034,0,Africa
171,Belize,1.925,2.001,0.00231,0.076,0,North America
172,St. Lucia,1.922,1.992,0.0023,0.07,0,North America
173,The Gambia,1.625,1.773,0.00205,0.148,1,Africa
174,Antigua and Barbuda,1.611,1.688,0.00195,0.077,1,North America
175,Seychelles,1.583,1.644,0.0019,0.061,1,Africa
176,San Marino,1.638,1.591,0.00184,-0.047,-3,Europe
177,Solomon Islands,1.378,1.44,0.00166,0.062,1,Oceania
178,Guinea-Bissau,1.429,1.397,0.00161,-0.032,-1,Africa
179,Grenada,1.185,1.238,0.00143,0.053,0,North America
180,Comoros,1.184,1.179,0.00136,-0.005,0,Africa
181,St. Kitts and Nevis,0.98,1.032,0.00119,0.052,0,North America
182,Vanuatu,0.928,0.951,0.0011,0.023,0,Oceania
183,Samoa,0.862,0.905,0.00105,0.043,0,Oceania
184,St. Vincent and the Grenadines,0.811,0.856,0.00099,0.045,0,North America
185,Dominica,0.533,0.593,0.00068,0.06,0,North America
186,Tonga,0.488,0.488,0.00056,0,0,Oceania
187,São Tomé and Príncipe,0.423,0.43,0.0005,0.007,0,Africa
188,Micronesia,0.372,0.381,0.00044,0.009,0,Oceania
189,Palau,0.284,0.291,0.00034,0.007,0,Oceania
190,Marshall Islands,0.214,0.22,0.00025,0.006,0,Oceania
191,Kiribati,0.189,0.184,0.00021,-0.005,0,Oceania
192,Nauru,0.112,0.108,0.00012,-0.004,0,Oceania
193,Tuvalu,0.042,0.042,0.00005,0,0,Oceania
